Find#,Part Number,Count,RefDes,Package,Decal,Desc,Vend,VendPN,Manf,ManfPN,PSID
10,"BW-087-782","1","D7","LED-0603","LED-0603","LED 631nm (red) 2V 5mA 0603 SMT Lite-On LTST-C193KRKT-5A","Digi-Key","160-1830-1-ND","Liteon","LTST-C193KRKT-5A",""
,,,,,,,"Mouser Electronics","859-LTSTC193KRKT5A","Liteon","LTST-C193KRKT-5A",
11,"BW-697-885","2","E1 E2","0603","0603","Diode TVS 24VWM 150VC 0603 Littelfuse PGB1010603MR","Digi-Key","F2594CT-ND","Littlefuse","PGB1010603MR",""
12,"BW-633-217","1","F1","1206","1206","Fuse PTC reset 6V 1.5A 1206 Eaton PTSLR12066V150","Digi-Key","283-PTSLR12066V150CT-ND","Eaton","PTSLR12066V150",""
13,"BW-350-204","1","J1","CON-006-2.50-8.4X12.68/2X3-RA-POST","CON-006-2.50-8.4X12.68/2X3-RA-POST","Con 6 pin 2.5mm pitch 2x3 Nano Fit RA male thru shrouded Molex 1053141106","Digi-Key","WM16908-ND","Molex","1053141106",""
14,"BW-517-054","3","J2 J3 J18","CON-003-100-300X100/1X3-POST","CON-003-100-300X100/1X3-POST","Con 3 pin 100 mil pitch 1x3 TSW str male thru 0.230"" post height Samtec TSW-103-07-G-S","Digi-Key","SAM1029-03-ND","Samtec","TSW-103-07-G-S",""
,,,,,,,"Mouser","200-TSW10307GS","Samtec","TSW-103-07-G-S",
15,"BW-220-198","3","J4 J8 J10","CON-012-100-600X200/2X6-POST-RA","CON-012-100-600X200/2X6-POST-RA","Con 12 pin 100 mil pitch 2x6 TSW RA male thru 0.230"" post height Samtec TSW-106-08-L-D-RA","Digi-Key","SAM1041-06-ND","Samtec","TSW-106-08-L-D-RA",""
16,"BW-867-891","7","J5 J6 J9 J11 J13 J15 J16","CON-001-9.5X7.9/SMA-EDGE","CON-001-9.5X7.9/SMA-EDGE","Con SMA female jack end launch 50 ohm 18GHz PCB long pin (f/62mil board) Cinch 142-0701-801","Digi-Key","J502-ND","Cinch","142-0701-801",""
,,,,,,,"Mouser Electronics","530-142-0701-801","Cinch","142-0701-801",
17,"BW-491-171","1","J7","CON-004-100-400X100/1X4-POST","CON-004-100-400X100/1X4-POST","Con 4 pin 100 mil pitch 1x4 TSW str male thru 0.230"" post height Samtec TSW-104-07-G-S","Digi-Key","SAM1029-04-ND","Samtec","TSW-104-07-G-S",""
,,,,,,,"Mouser","200-TSW10407GS","Samtec","TSW-104-07-G-S",
18,"BW-510-530","1","J12","CON-016-100-800X200/2X8-POST","CON-016-100-800X200/2X8-POST","Con 16 pin 100 mil pitch 2x8 TSW str male thru Samtec TSW-108-07-L-D","Digi-Key","SAM1030-08-ND","Samtec","TSW-108-07-L-D",""
19,"BW-137-712","1","J14","CON-012-100-600X200/2X6-POST","CON-012-100-600X200/2X6-POST","Con 12 pin 100 mil pitch 2x6 SSW socket female thru 0.230"" post height Samtec SSW-106-01-G-D","Digi-Key","SAM1208-06-ND","Samtec","SSW-106-01-G-D",""
20,"BW-536-719","1","J17","CON-012-0.5-8.90X7.4/USB-C","CON-012-0.5-8.90X7.4/USB-C","Con USB-C 2.0 recp R/A SMT Amphenol 12402012E212A","Digi-Key","664-12402012E212ACT-ND","Amphenol Commerical","12402012E212A",""
,,,,,,,"Mouser","523-12402012E212A","Amphenol","12402012E212A",
21,"BW-038-636","2","J19 J23","CON-002-100-200X100/1X2-POST","CON-002-100-200X100/1X2-POST","Con 2 pin 100 mil pitch 1x2 TSW str male thru 0.230"" post height Samtec TSW-102-07-G-S","Digi-Key","SAM1029-02-ND","Samtec","TSW-102-07-G-S",""
22,"BW-623-913","3","J20 J21 J22","CON-008-100-400X200/2X4-POST","CON-008-100-400X200/2X4-POST","Con 8 pin 100 mil pitch 2x4 TSW str male thru 0.230"" post height Samtec TSW-104-07-L-D","Digi-Key","SAM1030-04-ND","Samtec","TSW-104-07-L-D",""
23,"BW-227-124","2","L1 L2","1008","1008","Inductor 1uH  3.3A shielded 1008 pkg Murata DFE252012F-1R0M=P2","Digi-Key","490-13053-1-ND","Murata","DFE252012F-1R0M=P2",""
24,"BW-812-714","1","R1","0603","0603","Res 909 1% 1/10W 0603 Panasonic ERJ-3EKF9090V","Digi-Key","P909HCT-ND","Panasonic","ERJ-3EKF9090V",""
25,"BW-303-795","1","R2","0603","0603","Res 100K 1% 1/10W 0603 Panasonic ERJ-3EKF1003V","Digi-Key","P100KHCT-ND","Panasonic","ERJ-3EKF1003V",""
,,,,,,,"Mouser","667-ERJ-3EKF1003V","Panasonic","ERJ-3EKF1003V",
26,"BW-760-287","1","R3","0603","0603","Res 200K 1% 1/10W 0603 Panasonic ERJ-3EKF2003V","Digi-Key","P200KHCT-ND","Panasonic","ERJ-3EKF2003V",""
27,"BW-514-032","1","R4","0603","0603","Res 510K 1% 1/10W 0603 Panasonic ERJ-3EKF5103V","Digi-Key","P510KHCT-ND","Panasonic","ERJ-3EKF5103V",""
28,"BW-421-162","1","R5","0603","0603","Res 2.7M 5% 1/10W 0603 Panasonic ERJ-3GEYJ275V","Digi-Key","P2.7MGCT-ND","Panasonic","ERJ-3GEYJ275V",""
29,"BW-446-612","1","R6","0603","0603","Res 15K 1% 1/10W 0603 Panasonic","Digi-Key","P15.0KHCT-ND","Panasonic","ERJ-3EKF1502V",""
30,"BW-131-959","1","R7","0603","0603","Res 82.5K 1% 1/10W 0603 Panasonic ERJ-3EKF8252V","Digi-Key","P82.5KHCT-ND","Panasonic","ERJ-3EKF8252V",""
31,"BW-354-763","3","R8 R11 R16","0603","0603","Res 301 1% 1/10W 0603 Panasonic ERA-3AEB3010V","Digi-Key","P301DBCT-ND","Panasonic","ERA-3AEB3010V",""
32,"BW-257-784","1","R9","VR-03-100-4.8X5.7/TOP","VR-03-100-4.8X5.7/TOP","Res var trimmer pot 5K 1/4W 3-pin SMT Bourns 3214X-1-502E","Digi-Key","3214X-1-502ECT-ND","Bourns","3214X-1-502E",""
33,"BW-560-201","1","R10","0603","0603","Res 215K 1% 1/10W 0603 Panasonic ERJ-3EKF2153V","Digi-Key","P215KHCT-ND","Panasonic","ERJ-3EKF2153V",""
34,"BW-784-622","2","R12 R28","0603","0603","Res 250 0.1% 1/10W 0603 Yageo RT0603BRE07250RL","Digi-Key","13-RT0603BRE07250RLCT-ND","Yageo","RT0603BRE07250RL",""
,,,,,,,"Mouser Electronics","603-RT0603BRE07250RL","Yageo","RT0603BRE07250RL",
35,"BW-628-791","1","R13","0603","0603","Res 33.2K 1% 1/10W 0603 Panasonic ERJ-3EKF3322V","Digi-Key","P33.2KHCT-ND","Panasonic","ERJ-3EKF3322V",""
,,,,,,,"Mouser","667-ERJ-3EKF3322V","Panasonic","ERJ-3EKF3322V",
36,"BW-457-217","4","R14 R18 R19 R22","0603","0603","Res 330 1% 1/10W 0603 Panasonic ERJ-U03F3300V","Digi-Key Corporation","10-ERJ-U03F3300VCT-ND","Panasonic","ERJ-U03F3300V",""
,,,,,,,"Mouser Electronics","667-ERJ-U03F3300V","Panasonic","ERJ-U03F3300V",
37,"BW-146-387","1","R15","0603","0603","Res 75 1% 1/10W 0603 Stackpole RMCF0603FT75R0","Digi-Key","RMCF0603FT75R0CT-ND","Stackpole","RMCF0603FT75R0",""
,,,,,,,"Mouser Electronics","708-RMCF0603FT75R0","Stackpole","RMCF0603FT75R0",
38,"BW-532-263","1","R17","0603","0603","Res 0 1/10W 0603 Panasonic ERJ-3GEY0R00V","Digi-Key","P0.0GCT-ND","Panasonic","ERJ-3GEY0R00V",""
39,"BW-611-992","2","R20 R21","0603","0603","Res 10 0.05% 1/10W 0603 Stackpole RNCF0603AKT10R0","Digi-Key","RNCF0603AKT10R0CT-ND","Stackpole","RNCF0603AKT10R0",""
40,"BW-200-113","18","R23 R24 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49","0603","0603","Res 5.1K 1% 1/10W 0603 Panasonic ERJ-3EKF5101V","Digi-Key","P5.10KHCT-ND","Panasonic","ERJ-3EKF5101V",""
41,"BW-725-833","1","R26","0603","0603","Res 4.7K 1% 1/10W 0603 Panasonic ERJ-3EKF4701V","Digi-Key","P4.70KHCT-ND","Panasonic","ERJ-3EKF4701V",""
42,"BW-038-468","4","R27 R29 R31 R32","0603","0603","Res 10K 1% 1/10W 0603 Yageo RC0603FR-0710KL","Digi-Key","311-10.0KHRCT-ND","Yageo","RC0603FR-0710KL",""
43,"BW-528-389","1","R30","0603","0603","Res 12K 0.5% 1/10W 0603 Panasonic","Digi-Key","P123739CT-ND","Panasonic","ERA-3AED123V",""
44,"BW-005-683","1","R33","0603","0603","Res 2.2K 1% 1/10W 0603 Yageo RC0603FR-132K2L","Digi-Key","13-RC0603FR-132K2LCT-ND","Yageo","RC0603FR-132K2L",""
,,,,,,,"Mouser Electronics","603-RC0603FR-132K2L","Yageo","RC0603FR-132K2L",
45,"BW-522-992","2","S1 S2","SW-003-4.7-14.0X7.0/SPDT-CS","SW-003-4.7-14.0X7.0/SPDT-CS","Switch slide SPDT 3A 125V ST thru NKK CS12ANW03","Digi-Key","360-2131-ND","NKK","CS12ANW03",""
46,"BW-431-238","1","S3","SW-003-100-10.0X2.5/SPDT-WS-SLTV","SW-003-100-10.0X2.5/SPDT-WS-SLTV","Switch slide SPDT ST thru Wurth 450301014042","Digi-Key","450301014042-ND","Wurth","450301014042",""
47,"BW-591-967","3","S4 S6 S7","SW-02-6.7X3.7","SW-02-6.7X3.7","Switch momentary SPST-NO tactile 2 pin J-lead low-profile 2.5mm SMT C&K PTS636 SK25J SMTR LFS","Digi-Key","CKN12326-1-ND","C&K","PTS636 SK25J SMTR LFS",""
,,,,,,,"Mouser","611-PTS636SK25JSMTRL","C&K","PTS636 SK25J SMTR LFS",
48,"BW-977-175","1","S5","GW-12-100-390","GW-12-100-390","Switch DIP 6 position, 12 pin, SMT Wurth 418121270806","Digi-Key","732-6964-1-ND","Wurth","418121270806",""
49,"BW-602-053","1","T4","TP-63/ROUND-THT","TP-63/ROUND-THT","Test point loop 63mil dia hole orange Keystone 5008","Digi-Key","36-5008-ND","Keystone","5008",""
,,,,,,,"Mouser","534-5008","Keystone","5008",
50,"BW-966-768","1","T10","TP-63/ROUND-THT","TP-63/ROUND-THT","Test point loop 63mil dia hole black Keystone 5006","Digi-Key","36-5006-ND","Keystone","5006",""
,,,,,,,"Mouser","534-5006","Keystone","5006",
51,"BW-067-710","2","T12 T13","TP-63/ROUND-THT","TP-63/ROUND-THT","Test point loop 63mil dia hole yellow Keystone 5009","Digi-Key","36-5009-ND","Keystone","5009",""
,,,,,,,"Mouser","534-5009","Keystone","5009",
52,"BW-849-997","1","U1","DDPAK-5L","DDPAK-5L","IC LT3083 LDO regulator 3A DDPAK-5L Analog Devices LT3083EQ#PBF","Digi-Key","505-LT3083EQ#PBF-ND","Analog Devices","LT3083EQ#PBF",""
,,,,,,,"Mouser","584-LT3083EQ#PBF","Analog Devices","LT3083EQ#PBF",
53,"BW-471-924","1","U2","LCCT-08-1.27-5.3X6.2/DUAL-FET","LCCT-08-1.27-5.3X6.2/DUAL-FET","MOSFET N-CH dual 60V 35A SOT-1205 Nexperia BUK9K12-60EX","Digi-Key","1727-1897-1-ND","Nexperia","BUK9K12-60EX",""
,,,,,,,"Mouser","771-BUK9K12-60EX","Nexperia","BUK9K12-60EX",
54,"BW-746-991","2","U3 U5","GW-10-.5-4.9/THM","GW-10-.5-4.9/THM","IC LT3042 adj LDO regulator 200mA MSOP-EP-10 Analog Devices LT3042IMSE#TRPBF","Digi-Key","LT3042IMSE#TRPBFCT-ND","Analog Devices","LT3042IMSE#TRPBF",""
,,,,,,,"Mouser","584-LT3042IMSE#TRPBF","Analog Devices","LT3042IMSE#TRPBF",
55,"BW-843-693","1","U4","GW-08-.65-2.9","GW-08-.65-2.9","IC LTC4365CTS8#TRMPBF Analog Devices LTC4365 Surge Surpressor","Digi-Key","505-LTC4365CTS8#TRMPBFCT-ND","Analog Devices","LTC4365CTS8#TRMPBF",""
,,,,,,,"Mouser","584-C4365CTS8TRMPBF","Analog Devices","LTC4365CTS8#TRMPBF",
56,"BW-023-157","1","U6","QFN-64-.5-9.0X9.0/THERM-7.6","QFN-64-.5-9.0X9.0/THERM-7.6","IC custom STAC-V1 die 64 pins 0.5mm pitch QFN-64 w/EP BWRC","","","","",""
57,"BW-157-496","1","U7","QFP-64-.5-12.0X12.0","QFP-64-.5-12.0X12.0","IC FT2232HL USB to UART/FIFO LQFP-64 FTDI FT2232HL","Digi-Key","768-1024-1-ND","FTDI","FT2232HL-REEL",""
58,"BW-913-765","1","U8","SOT-23-6","SOT-23-6","IC 93LC56BT-I/OT 2K I2C EEPROM SOT23-6 Microchip 93LC56BT-I/OT","Digi-Key","93LC56BT-I/OTCT-ND","Microchip","93LC56BT-I/OT",""
59,"BW-674-698","1","U9","GW-24-.65-6.4","GW-24-.65-6.4","IC TS3A27518EPWR 6-ch analog mux TSSOP-24 TI TS3A27518EPWR","Digi-Key","296-24570-1-ND","Texas Instruments","TS3A27518EPWR",""
60,"BW-250-920","1","U10","GW-08-1.27-5.2X8.0","GW-08-1.27-5.2X8.0","IC IS25LP128-JBLE 128Mbit QSPI flash SOIC-8 ISSI IS25LP128-JBLE","Digi-Key","706-1341-ND","ISSI","IS25LP128-JBLE",""
61,"BW-818-101","1","U11","GW-08-1.27-5.0X6.0","GW-08-1.27-5.0X6.0","IC APS6404L-3SQR-SN PseudoSRAM PSRAM 8Mx8bits SPI/QSPI SOP-8 AP Memory APS6404L-3SQR-SN","Mouser","878-APS6404L-3SQR-SN","AP Memory","APS6404L-3SQR-SN",""
62,"BW-479-949","1","X1","XTAL-03-1.2-3.2X1.3","XTAL-03-1.2-3.2X1.3","Osc 12MHz with capacitors 3-pin Murata CSTNE12M0GH5L000R0","Digi-Key","490-17947-1-ND","Murata","CSTNE12M0GH5L000R0",""
